Target,Condition,Samples,MAE,RMSE,R2,MAE_Difference_From_Overall,MAE_Percent_Change
SOC,Overall Test,2250,1.3538499910835189,3.1794515978172777,0.9940535792387866,,
Remaining Charging Time,Overall Test,2286,542.106640052783,799.6852723580091,0.9987558327958637,,
SOC,Low SOC (<=33.33%),1335,0.819681911242084,1.9872616366676557,0.9260216781108728,-0.5341680798414349,-39.45548497687896
SOC,Mid SOC (33.33-66.67%),226,1.887909338520926,3.232713152131584,0.8872212648281537,0.5340593474374071,39.44745362889034
SOC,High SOC (>66.67%),689,2.2136714338519674,4.683147862645462,0.7449999830486003,0.8598214427684485,63.509358380267265
