Day,Model,Target,Validation_MAE,Validation_RMSE,Validation_R2
Day 15,Linear Regression,SOC,15.707496545081618,21.03916514713996,0.3177928235419356
Day 15,Linear Regression,Remaining Charging Time,3274.0768029612536,3667.171230954775,-5.459443680167445
Day 16,Random Forest Tuned,SOC,9.072034605325754,11.613401902921076,0.7921365218102133
Day 16,Random Forest Tuned,Remaining Charging Time,66.00901801686526,85.34167708960089,0.9965017158335832
Day 16,XGBoost Tuned,SOC,7.498428364001095,9.9448238364963,0.8475759604369031
Day 16,XGBoost Tuned,Remaining Charging Time,210.95424817808475,316.45013087648545,0.9519001970288692
Day 17,Small ANN / MLP,SOC,11.614761893947223,17.777086648005092,0.5129422514843296
Day 17,Small ANN / MLP,Remaining Charging Time,85.53995298292635,117.11702195897698,0.9934117089079892
Day 19,Random Forest - RF_1_Baseline_Tuned,Remaining Charging Time,66.00901801686526,85.3416770896009,0.9965017158335832
Day 19,XGBoost - XGB_2_More_Regularization,SOC,5.767199061938905,8.348844436489136,0.8925733541059921
