Target,Model,Dataset,MAE,RMSE,R2
SOC,Random Forest Tuned,Train,0.25887529877755466,0.8746412445057248,0.999567350925484
SOC,Random Forest Tuned,Validation,9.072034605325749,11.613401902921073,0.7921365218102134
SOC,Random Forest Tuned,Test,0.7535280027438763,4.0143213159441675,0.9905207175641741
Remaining Charging Time,Random Forest Tuned,Train,54.619268606314186,259.75322373094485,0.9996115099949128
Remaining Charging Time,Random Forest Tuned,Validation,66.00901801686526,85.34167708960089,0.9965017158335832
Remaining Charging Time,Random Forest Tuned,Test,542.1066400527826,799.6852723580088,0.9987558327958637
SOC,XGBoost Tuned,Train,0.503184184044593,1.3300741674594838,0.9989994758163704
SOC,XGBoost Tuned,Validation,7.498428364001095,9.9448238364963,0.8475759604369031
SOC,XGBoost Tuned,Test,1.0475166787661283,3.6911049454287124,0.9919857296859357
Remaining Charging Time,XGBoost Tuned,Train,129.5961532265333,396.70198142854355,0.9990938779540582
Remaining Charging Time,XGBoost Tuned,Validation,210.95424817808475,316.45013087648545,0.9519001970288693
Remaining Charging Time,XGBoost Tuned,Test,969.2980321515367,1512.1484237839918,0.9955513381462441
