Target,Model,Dataset,MAE,RMSE,R2
SOC,Small ANN / MLP,Test,2.628960403089444,3.9933597133725423,0.9906194551372728
Remaining Charging Time,Small ANN / MLP,Test,713.3875717104709,1003.3070393648217,0.998041569011529
SOC,,Test,4.681095499648468,11.754876173309327,0.9187193220299668
Remaining Charging Time,,Test,8817.875378622599,12224.276889661494,0.7092719665351541
SOC,Random Forest Tuned,Test,0.7535280027438764,4.014321315944168,0.990520717564174
Remaining Charging Time,Random Forest Tuned,Test,542.1066400527827,799.6852723580088,0.9987558327958636
SOC,XGBoost Tuned,Test,1.0475166787661283,3.691104945428712,0.9919857296859356
Remaining Charging Time,XGBoost Tuned,Test,969.2980321515367,1512.1484237839918,0.995551338146244
