Target,Model,Dataset,MAE,RMSE,R2
SOC,Small ANN / MLP,Train,0.8304833274781711,2.3420743896651026,0.9968977467854311
SOC,Small ANN / MLP,Validation,11.614761893947225,17.777086648005092,0.5129422514843296
SOC,Small ANN / MLP,Test,2.628960403089444,3.9933597133725423,0.9906194551372728
Remaining Charging Time,Small ANN / MLP,Train,93.74484692514841,174.94359763195794,0.9998237804595881
Remaining Charging Time,Small ANN / MLP,Validation,85.53995298292635,117.11702195897698,0.9934117089079892
Remaining Charging Time,Small ANN / MLP,Test,713.3875717104709,1003.3070393648217,0.998041569011529
