Target,Feature Set,Validation MAE,Validation RMSE,Validation R2,Test MAE,Test RMSE,Test R2
SOC,Raw,9.764683921803233,12.055088100108957,0.7760247368132069,0.63538048144102,3.7903854128962693,0.9915488084693741
SOC,Raw + Power,9.697815307913075,11.981020325549283,0.7787685385637468,0.6107542930863981,3.660930231762527,0.9921162271085637
Remaining Charging Time,Raw,15.699955522609338,22.27815758898554,0.9997616082171827,470.07251093613297,761.0713156462244,0.9988730847355392
Remaining Charging Time,Raw + Power,15.487368421052636,22.08126726375354,0.9997658033239775,479.9504374453193,777.2690400827862,0.9988246064789336
