,SOC
SOC,1.0
WhAccu,0.902514471085404
Voltage,0.7414409051314973
Temperature,0.4128739031139746
Power,0.1733579180578555
Current,0.14294761113233276
Elapsed Time,-0.5552771568514823
Cycle,
